Nr;Ntsvnr;Naam;Club;Klasse;RP;Score;Percentage
1;1304;COENE Dominique;COXHYDE, Koksijde;IV;100;869;94,868995633188
2;0548;FARASYN Kurt;COXHYDE, Koksijde;;95,479452054794;824;89,956331877729
3;1305;TORREELE Ronald;COXHYDE, Koksijde;III;95,37899543379;823;89,847161572052
4;0230;MEURRENS Rita;COXHYDE, Koksijde;;89,853881278539;768;83,842794759825
5;-0040;PETRACCA Marilyn;COXHYDE, Koksijde;;84,630136986301;716;78,165938864629
6;1359;CLOETENS Annelies;COXHYDE, Koksijde;;79,10502283105;661;72,161572052402
7;-0034;WYBO Monique;COXHYDE, Koksijde;V;78,602739726027;656;71,615720524017
8;1526;D'HONDT Kristof;COXHYDE, Koksijde;;77,397260273973;644;70,305676855895
9;1601;VANDENBERGHE Christine;COXHYDE, Koksijde;;76,995433789954;640;69,868995633188
10;-0045;FINAUT Patrick;COXHYDE, Koksijde;;75,689497716895;627;68,449781659389
11;0248;VANDENBERGHE Riet;COXHYDE, Koksijde;;73,37899543379;604;65,938864628821
12;1694;HERWEYER Catharina;COXHYDE, Koksijde;;62,730593607306;498;54,366812227074
13;-0039;VANDESOMPELE Mireille;COXHYDE, Koksijde;;61,826484018265;489;53,384279475983
14;-0037;GHYSELS Marc;COXHYDE, Koksijde;;48,867579908676;360;39,301310043668
