Nr;Ntsvnr;Naam;Club;Klasse;RP;Score;Percentage
1;0356;DE SCHACHT Dave;BLANCO, Tielt;;100;861;84,995064165844
2;1305;TORREELE Ronald;COXHYDE, Koksijde;III;99,295194508009;854;84,304047384008
3;1347;DEFOUR Ann;SYLLABE, Izegem;III;97,080091533181;832;82,13228035538
4;1304;COENE Dominique;COXHYDE, Koksijde;IV;88,421052631579;746;73,642645607108
5;0979;VERLINDEN John;HOMERUS, Gent;;80,970251716247;672;66,337611056269
6;1359;CLOETENS Annelies;COXHYDE, Koksijde;;80,265446224256;665;65,646594274432
7;1526;D'HONDT Kristof;COXHYDE, Koksijde;;79,963386727689;662;65,350444225074
8;0230;MEURRENS Rita;COXHYDE, Koksijde;;76,036613272311;623;61,500493583416
9;1663;PETRACCA Marilyn;COXHYDE, Koksijde;;74,324942791762;606;59,822309970385
10;1681;GHYSELS Marc;COXHYDE, Koksijde;;73,922196796339;602;59,427443237907
11;1688;FINAUT Patrick;COXHYDE, Koksijde;;72,311212814645;586;57,847976307996
12;1664;VANDESOMPELE Mireille;COXHYDE, Koksijde;;61,940503432494;483;47,680157946693
13;1630;WYBO Monique;COXHYDE, Koksijde;V;53,281464530892;397;39,190523198421
14;1694;HERWEIJER Catharina;COXHYDE, Koksijde;;51,368421052632;378;37,314906219151
