Nr;Ntsvnr;Naam;Club;Klasse;RP;Score;Percentage
1;1305;TORREELE Ronald;COXHYDE, Koksijde;III;100;793;86,856516976999
2;1347;DEFOUR Ann;SYLLABE, Izegem;III;96,391534391534;762;83,461117196057
3;1304;COENE Dominique;COXHYDE, Koksijde;IV;93,132275132275;734;80,39430449069
4;0979;VERLINDEN John;HOMERUS, Gent;;92,433862433862;728;79,73713033954
5;1601;VANDENBERGHE Christine;COXHYDE, Koksijde;;81,608465608466;635;69,550930996714
6;1526;D'HONDT Kristof;COXHYDE, Koksijde;;78,349206349206;607;66,484118291347
7;1688;FINAUT Patrick;COXHYDE, Koksijde;;77,650793650794;601;65,826944140197
8;1681;GHYSELS Marc;COXHYDE, Koksijde;;77,068783068783;596;65,279299014239
9;1664;VANDESOMPELE Mireille;COXHYDE, Koksijde;;76,486772486772;591;64,73165388828
10;0230;MEURRENS Rita;COXHYDE, Koksijde;;75,439153439153;582;63,745892661555
11;1694;HERWEIJER Catharina;COXHYDE, Koksijde;;64,613756613757;489;53,559693318729
12;1663;PETRACCA Marilyn;COXHYDE, Koksijde;;60,888888888889;457;50,054764512596
