Nr;Ntsvnr;Naam;Club;Klasse;RP;Score;Percentage
1;1605;CALLEWAERT William;CHIPKA, Aalst;I;100;908;94,288681204569
2;0356;DE SCHACHT Dave;BLANCO, Tielt;;94,241975308642;855;88,785046728972
3;1359;CLOETENS Annelies;COXHYDE, Koksijde;;87,18024691358;790;82,035306334372
4;1305;TORREELE Ronald;COXHYDE, Koksijde;III;83,16049382716;753;78,193146417445
5;0230;MEURRENS Rita;COXHYDE, Koksijde;;81,856790123457;741;76,947040498442
6;0548;FARASYN Kurt;COXHYDE, Koksijde;;78,706172839506;712;73,935617860852
7;1526;D'HONDT Kristof;COXHYDE, Koksijde;;77,293827160494;699;72,585669781931
8;1304;COENE Dominique;COXHYDE, Koksijde;IV;74,577777777778;674;69,989615784008
9;1601;VANDENBERGHE Christine;COXHYDE, Koksijde;;60,345679012346;543;56,386292834891
10;-0039;VANDESOMPELE Mireille;COXHYDE, Koksijde;;59,476543209877;535;55,555555555556
11;-0040;PETRACCA Marilyn;COXHYDE, Koksijde;;58,281481481481;524;54,413291796469
12;-0038;FARASYN Mathiz;;;39,160493827161;348;36,13707165109
