Nr;Ntsvnr;Naam;Club;Klasse;RP;Score;Percentage
1;0548;FARASYN Kurt;COXHYDE, Koksijde;;100;837;89,80686695279
2;0230;MEURRENS Rita;COXHYDE, Koksijde;;96,660714285714;820;87,982832618026
3;1304;COENE Dominique;COXHYDE, Koksijde;IV;90,375;788;84,549356223176
4;1305;TORREELE Ronald;COXHYDE, Koksijde;III;88,607142857143;779;83,583690987124
5;0248;VANDENBERGHE Riet;COXHYDE, Koksijde;;85,857142857143;765;82,081545064378
6;1526;D'HONDT Kristof;COXHYDE, Koksijde;;78;725;77,789699570815
7;-0040;PETRACCA Marilyn;COXHYDE, Koksijde;;71,910714285714;694;74,463519313305
8;-0045;FINAUT Patrick;;;52,464285714286;595;63,841201716738
9;-0043;BOSGAERD Viv;;;44,803571428571;556;59,656652360515
10;1601;VANDENBERGHE Christine;COXHYDE, Koksijde;;43,625;550;59,012875536481
11;-0039;VANDESOMPELE Mireille;COXHYDE, Koksijde;;37,732142857143;520;55,793991416309
