Nr;Ntsvnr;Naam;Club;Klasse;RP;Score;Percentage
1;0230;MEURRENS Rita;COXHYDE, Koksijde;;100;780;79,107505070994
2;1359;CLOETENS Annelies;COXHYDE, Koksijde;;99,299363057325;775;78,600405679513
3;1305;TORREELE Ronald;COXHYDE, Koksijde;III;98,178343949045;767;77,789046653144
4;0548;FARASYN Kurt;COXHYDE, Koksijde;;94,675159235669;742;75,25354969574
5;1304;COENE Dominique;COXHYDE, Koksijde;IV;93,133757961783;731;74,137931034483
6;0248;VANDENBERGHE Riet;COXHYDE, Koksijde;;85,987261146497;680;68,965517241379
7;1526;D'HONDT Kristof;COXHYDE, Koksijde;;78,420382165605;626;63,488843813387
8;-0037;GHYSELS Marc;COXHYDE, Koksijde;;78;623;63,184584178499
9;-0040;PETRACCA Marilyn;COXHYDE, Koksijde;;76,03821656051;609;61,764705882353
10;-0043;BOSGAERD Viv;COXHYDE, Koksijde;;74,356687898089;597;60,547667342799
11;-0045;FINAUT Patrick;COXHYDE, Koksijde;;72,114649681529;581;58,924949290061
12;-0034;WYBO Monique;COXHYDE, Koksijde;V;69,031847133758;559;56,693711967546
13;1601;VANDENBERGHE Christine;COXHYDE, Koksijde;;60,063694267516;495;50,202839756592
14;1694;HERWEYER Catharina;COXHYDE, Koksijde;;43,528662420382;377;38,235294117647
15;-0038;FARASYN Mathiz;;;37,643312101911;335;33,975659229209
