Nr;Ntsvnr;Naam;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;Totaal;Scrabbles;Nulscores;Solo's;Soloscrabbles
 ;;MAXIMUM;86;77;89;34;29;31;35;22;33;40;26;29;26;31;42;14;25;28;36;20;32;32;817;;;;
1;1305;TORREELE Ronald;86;77;86;27;27;31;35;22;33;40;24;29;26;31;24;14;25;28;36;19;32;26;778;3;0;2;0
2;1526;D'HONDT Kristof;86;77;72;22;26;31;29;22;33;22;15;29;20;15;42;13;25;19;23;20;30;32;703;3;0;0;0
3;1663;PETRACCA Marilyn;86;48;89;34;29;30;0;22;30;40;24;22;26;19;42;0;25;19;0;19;30;32;666;2;3;1;0
4;1304;COENE Dominique;86;24;89;0;26;0;29;22;33;30;18;26;24;30;42;14;25;28;23;19;29;32;649;2;2;0;0
5;1630;WYBO Monique;28;77;72;24;28;31;35;21;30;38;15;11;18;21;21;8;25;28;23;20;30;32;636;2;0;0;0
6;1359;CLOETENS Annelies;86;0;72;24;28;31;31;21;30;32;26;18;18;31;42;8;25;28;0;18;30;28;627;2;2;0;0
6;0230;MEURRENS Rita;86;0;72;34;28;27;16;21;30;40;26;12;18;18;42;12;25;16;23;19;30;32;627;2;1;0;0
8;1688;FINAUT Patrick;86;50;72;18;28;30;22;21;33;22;0;13;18;15;21;14;15;16;22;20;30;32;598;2;1;0;0
9;1601;VANDENBERGHE Christine;32;48;83;24;28;0;22;11;33;32;0;15;18;31;42;8;25;18;24;19;30;32;575;1;2;0;0
10;-48;CLAERHOUT Luc;86;24;33;20;20;27;22;22;8;38;13;16;0;30;20;8;25;12;18;18;19;28;507;1;1;0;0
11;1694;HERWEIJER Catharina;86;48;36;20;22;18;0;14;20;38;15;13;12;15;21;8;11;19;24;20;30;15;505;1;1;0;0
12;-47;GOSSE Linda;28;34;36;16;11;10;22;0;14;34;13;10;12;15;6;8;25;12;18;0;13;15;352;0;2;0;0
