Nr;Ntsvnr;Naam;Club;Klasse;RP;Score;Percentage
1;1305;TORREELE Ronald;COXHYDE, Koksijde;III;100;583;85,98820058997
2;0548;FARASYN Kurt;COXHYDE, Koksijde;;98,804347826087;578;85,250737463127
3;1304;COENE Dominique;COXHYDE, Koksijde;IV;90,434782608696;543;80,088495575221
4;1359;CLOETENS Annelies;COXHYDE, Koksijde;;90,195652173913;542;79,941002949852
5;1601;VANDENBERGHE Christine;COXHYDE, Koksijde;;79,673913043478;498;73,451327433628
6;1526;D'HONDT Kristof;COXHYDE, Koksijde;;76,326086956522;484;71,386430678466
7;-0040;PETRACCA Marilyn;COXHYDE, Koksijde;;67;445;65,634218289086
8;-0039;VANDESOMPELE Mireille;COXHYDE, Koksijde;;66,282608695652;442;65,191740412979
9;-0037;GHYSELS Marc;;;60,065217391304;416;61,356932153392
10;-0034;WYBO Monique;COXHYDE, Koksijde;V;59,108695652174;412;60,766961651917
