Nr;Ntsvnr;Naam;Club;Klasse;RP;Score;Percentage
1;1305;TORREELE Ronald;COXHYDE, Koksijde;III;100;778;95,226438188494
2;1526;D'HONDT Kristof;COXHYDE, Koksijde;;89,072847682119;703;86,046511627907
3;1663;PETRACCA Marilyn;COXHYDE, Koksijde;;83,682119205298;666;81,517747858017
4;1304;COENE Dominique;COXHYDE, Koksijde;IV;81,205298013245;649;79,436964504284
5;1630;WYBO Monique;COXHYDE, Koksijde;V;79,311258278146;636;77,845777233782
6;1359;CLOETENS Annelies;COXHYDE, Koksijde;;78;627;76,744186046512
 ;0230;MEURRENS Rita;COXHYDE, Koksijde;;78;627;76,744186046512
8;1688;FINAUT Patrick;COXHYDE, Koksijde;;73,774834437086;598;73,194614443084
9;1601;VANDENBERGHE Christine;COXHYDE, Koksijde;;70,423841059603;575;70,379436964504
10;-0048;CLAERHOUT Luc;COXHYDE, Koksijde;;60,516556291391;507;62,056303549572
11;1694;HERWEIJER Catharina;COXHYDE, Koksijde;;60,225165562914;505;61,811505507956
12;-0047;GOSSE Linda;COXHYDE, Koksijde;;37,933774834437;352;43,084455324357
