Nr;Ntsvnr;Naam;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;Totaal;Scrabbles;Nulscores;Solo's;Soloscrabbles
 ;;MAXIMUM;34;76;55;82;34;32;33;72;28;36;22;48;36;45;171;30;38;29;34;43;24;28;1030;;;;
1;0248;VANDENBERGHE Riet;34;76;55;82;34;27;33;40;26;30;22;40;36;45;171;27;33;29;27;40;24;17;948;2;0;2;0
2;1305;TORREELE Ronald;34;63;52;82;34;32;0;72;0;0;21;48;32;39;171;30;38;29;31;27;17;16;868;3;3;2;0
3;0230;MEURRENS Rita;34;63;55;80;30;20;33;28;28;36;21;48;34;33;113;23;36;29;34;43;17;28;866;3;0;2;0
4;1304;COENE Dominique;34;63;46;82;30;27;33;28;28;27;20;34;33;39;113;27;38;29;27;43;17;16;834;3;0;0;0
5;1526;D'HONDT Kristof;34;63;55;82;24;27;30;16;28;24;0;24;34;33;39;20;33;29;26;43;22;17;703;2;1;0;0
6;1688;FINAUT Patrick;34;63;52;82;30;27;33;0;20;25;22;34;36;33;39;27;26;29;27;27;16;9;691;2;1;0;0
7;1601;VANDENBERGHE Christine;34;18;23;80;24;12;16;28;28;24;21;33;21;30;67;23;36;29;26;43;17;28;661;2;0;0;0
8;1663;PETRACCA Marilyn;34;25;0;82;26;11;23;72;28;28;0;33;24;42;31;16;25;21;18;27;24;28;618;2;2;0;0
9;1630;WYBO Monique;34;25;46;18;26;24;28;34;21;0;21;48;29;39;39;16;36;20;27;40;17;15;603;0;1;0;0
10;1664;VANDESOMPELE Mireille;34;25;31;0;26;27;21;36;28;27;21;34;0;33;33;22;36;29;25;27;0;17;532;0;3;0;0
11;-0048;CLAERHOUT Marc;34;18;0;82;24;24;30;28;28;16;21;0;24;33;39;17;25;29;0;13;0;17;502;1;4;0;0
12;1694;HERWEIJER Catharina;34;18;31;26;24;14;20;16;26;12;20;33;30;42;39;22;9;24;18;0;15;9;482;0;1;0;0
13;-0047;GOSSE Linda;14;14;28;16;7;22;16;0;0;0;21;17;20;14;21;13;0;0;18;0;9;0;250;0;7;0;0
