Nr;Ntsvnr;Naam;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;B14;B15;B16;B17;B18;B19;B20;B21;B22;Totaal;Scrabbles;Nulscores;Solo's;Soloscrabbles
 ;;MAXIMUM;32;28;20;35;92;24;70;60;59;42;36;32;106;74;29;28;25;48;34;31;31;22;958;;;;
1;0356;DE SCHACHT Dave;32;28;20;31;79;22;70;60;59;40;36;32;106;74;25;28;25;35;34;31;31;22;920;3;0;2;1
2;1305;TORREELE Ronald;32;28;20;31;82;20;70;60;59;42;30;26;44;49;29;28;22;32;30;28;31;22;815;2;0;2;0
3;0979;VERLINDEN John;32;28;16;31;78;22;70;60;59;40;32;30;50;32;22;28;25;25;33;28;31;16;788;2;0;0;0
4;1304;COENE Dominique;32;28;20;31;89;22;0;55;0;40;30;28;44;74;27;28;25;48;33;0;31;21;706;1;3;1;0
5;0230;MEURRENS Rita;32;20;16;31;78;20;70;45;59;21;32;32;36;35;0;28;14;21;33;29;31;21;704;2;1;0;0
6;1688;FINAUT Patrick;32;18;14;35;92;22;70;52;59;30;30;20;27;0;0;28;22;32;28;25;31;19;686;2;2;2;0
7;1681;GHYSELS Marc;32;20;13;31;12;22;70;52;59;0;20;17;13;28;25;28;22;25;33;25;31;13;591;1;1;0;0
8;1601;VANDENBERGHE Christine;32;11;0;31;75;22;70;55;0;25;18;22;50;0;25;25;14;21;29;23;17;18;583;2;3;0;0
9;1664;VANDESOMPELE Mireille;32;14;0;31;77;0;70;40;26;20;0;26;44;32;0;28;22;32;34;0;31;12;571;2;5;0;0
10;1663;PETRACCA Marilyn;32;0;16;31;0;24;70;45;59;19;32;28;44;0;0;28;23;25;34;0;12;22;544;1;5;1;0
10;1630;WYBO Monique;32;11;16;31;0;15;23;55;56;25;30;24;44;28;25;26;15;28;29;0;31;0;544;0;3;0;0
12;1694;HERWEIJER Catharina;32;18;9;16;62;14;16;25;59;19;0;24;32;28;25;28;16;32;22;25;10;11;523;1;1;0;0
